"CEFR_level","Word_Phrase_Sentence","topic","grammar_type","english","french","example"
"A1","W","People & Family","noun","family","la famille","La famille est très importante pour moi."
"A1","W","People & Family","noun","father","le père","Mon père travaille beaucoup chaque jour."
"A1","W","People & Family","noun","mother","la mère","Ma mère cuisine très bien."
"A1","W","People & Family","noun","parents","les parents","Mes parents habitent à Paris."
"A1","W","People & Family","noun","son","le fils","Son fils a cinq ans."
"A1","W","People & Family","noun","daughter / girl","la fille","Ma fille aime beaucoup la musique."
"A1","W","People & Family","noun","brother","le frère","Mon frère est plus grand que moi."
"A1","W","People & Family","noun","sister","la sœur","Ma sœur habite à Lyon."
"A1","W","People & Family","noun","husband","le mari","Son mari est médecin."
"A1","W","People & Family","noun","woman / wife","la femme","Sa femme parle très bien français."
"A1","W","People & Family","noun","child","l'enfant","L'enfant joue dans le jardin."
"A1","W","People & Family","noun","baby","le bébé","Le bébé dort bien la nuit."
"A1","W","People & Family","noun","friend","l'ami","Mon ami s'appelle Thomas."
"A1","W","People & Family","noun","person","la personne","C'est une personne très sympa."
"A1","W","People & Family","noun","neighbor","le voisin","Mon voisin est très gentil."
"A1","W","People & Family","noun","colleague","le collègue","Mon collègue parle anglais."
"A1","W","People & Family","noun","teacher","le professeur","Le professeur explique bien."
"A1","W","People & Family","noun","student","l'étudiant","L'étudiant étudie beaucoup."
"A1","W","People & Family","noun","gentleman / man","le monsieur","Le monsieur attend le bus."
"A1","W","People & Family","noun","lady","la dame","La dame porte un chapeau rouge."
"A1","W","Daily Verbs","verb","to be","être","Je suis fatigué aujourd'hui."
"A1","W","Daily Verbs","verb","to have","avoir","J'ai deux enfants."
"A1","W","Daily Verbs","verb","to do / make","faire","Je fais du sport le matin."
"A1","W","Daily Verbs","verb","to go","aller","Nous allons au marché ce soir."
"A1","W","Daily Verbs","verb","to come","venir","Tu viens dîner ce soir?"
"A1","W","Daily Verbs","verb","to take","prendre","Je prends le train à huit heures."
"A1","W","Daily Verbs","verb","to put / wear","mettre","Elle met un manteau avant de sortir."
"A1","W","Daily Verbs","verb","to give","donner","Il donne un cadeau à sa mère."
"A1","W","Daily Verbs","verb","to say / tell","dire","Qu'est-ce que tu dis?"
"A1","W","Daily Verbs","verb","to speak","parler","Elle parle très bien français."
"A1","W","Daily Verbs","verb","to listen","écouter","J'écoute de la musique en travaillant."
"A1","W","Daily Verbs","verb","to watch / look at","regarder","Nous regardons un film ce soir."
"A1","W","Daily Verbs","verb","to see","voir","Je vois mes amis demain matin."
"A1","W","Daily Verbs","verb","to know","savoir","Tu sais parler espagnol?"
"A1","W","Daily Verbs","verb","to want","vouloir","Je veux un café s'il vous plaît."
"A1","W","Daily Verbs","verb","can / to be able to","pouvoir","Tu peux m'aider s'il te plaît?"
"A1","W","Daily Verbs","verb","must / to have to","devoir","Je dois partir maintenant."
"A1","W","Daily Verbs","verb","to like / love","aimer","J'aime beaucoup le chocolat."
"A1","W","Daily Verbs","verb","to prefer","préférer","Je préfère le thé au café."
"A1","W","Daily Verbs","verb","to look for","chercher","Je cherche mes clés depuis ce matin."
"A1","W","Daily Verbs","verb","to find","trouver","J'ai trouvé mon passeport!"
"A1","W","Daily Verbs","verb","to buy","acheter","Elle achète des légumes au marché."
"A1","W","Daily Verbs","verb","to pay","payer","Je vais payer par carte bancaire."
"A1","W","Daily Verbs","verb","to open","ouvrir","Ouvre la fenêtre s'il te plaît."
"A1","W","Daily Verbs","verb","to close","fermer","Ferme bien la porte en sortant."
"A1","W","Daily Verbs","verb","to start","commencer","Le cours commence à neuf heures."
"A1","W","Daily Verbs","verb","to finish","finir","Je finis le travail à dix-huit heures."
"A1","W","Daily Verbs","verb","to wait","attendre","J'attends le bus depuis dix minutes."
"A1","W","Daily Verbs","verb","to stay","rester","Je reste à la maison ce soir."
"A1","W","Home","noun","house","la maison","J'habite dans une petite maison."
"A1","W","Home","noun","apartment","l'appartement","Son appartement est au troisième étage."
"A1","W","Home","noun","bedroom / room","la chambre","Ma chambre est grande et lumineuse."
"A1","W","Home","noun","kitchen","la cuisine","Je cuisine dans la cuisine chaque soir."
"A1","W","Home","noun","bathroom","la salle de bains","La salle de bains est libre maintenant."
"A1","W","Home","noun","living room","le salon","Nous regardons la télé dans le salon."
"A1","W","Home","noun","door","la porte","Ferme la porte s'il te plaît."
"A1","W","Home","noun","window","la fenêtre","Ouvre la fenêtre car il fait chaud."
"A1","W","Home","noun","table","la table","Mets les assiettes sur la table."
"A1","W","Home","noun","chair","la chaise","Prends une chaise et assieds-toi."
"A1","W","Home","noun","bed","le lit","Je vais au lit à minuit."
"A1","W","Home","noun","wardrobe / cupboard","l'armoire","Mes vêtements sont dans l'armoire."
"A1","W","Home","noun","key","la clé","J'ai perdu ma clé ce matin."
"A1","W","Home","noun","garden","le jardin","Les enfants jouent dans le jardin."
"A1","W","Home","noun","stairs","l'escalier","Prends l'escalier plutôt que l'ascenseur."
"A1","W","Food & Drink","noun","bread","le pain","Je mange du pain frais le matin."
"A1","W","Food & Drink","noun","water","l'eau","Je bois beaucoup d'eau chaque jour."
"A1","W","Food & Drink","noun","coffee","le café","Je prends un café s'il vous plaît."
"A1","W","Food & Drink","noun","tea","le thé","Elle préfère le thé au café."
