topic,grammar_type,english,french,example
People & Family,noun,family,la famille,La famille est très importante pour moi.
People & Family,noun,father,le père,Mon père travaille beaucoup chaque jour.
People & Family,noun,mother,la mère,Ma mère cuisine très bien.
People & Family,noun,parents,les parents,Mes parents habitent à Paris.
People & Family,noun,son,le fils,Son fils a cinq ans.
People & Family,noun,daughter / girl,la fille,Ma fille aime beaucoup la musique.
People & Family,noun,brother,le frère,Mon frère est plus grand que moi.
People & Family,noun,sister,la sœur,Ma sœur habite à Lyon.
People & Family,noun,husband,le mari,Son mari est médecin.
People & Family,noun,woman / wife,la femme,Sa femme parle très bien français.
People & Family,noun,child,l'enfant,L'enfant joue dans le jardin.
People & Family,noun,baby,le bébé,Le bébé dort bien la nuit.
People & Family,noun,friend,l'ami,Mon ami s'appelle Thomas.
People & Family,noun,person,la personne,C'est une personne très sympa.
People & Family,noun,neighbor,le voisin,Mon voisin est très gentil.
People & Family,noun,colleague,le collègue,Mon collègue parle anglais.
People & Family,noun,teacher,le professeur,Le professeur explique bien.
People & Family,noun,student,l'étudiant,L'étudiant étudie beaucoup.
People & Family,noun,gentleman / man,le monsieur,Le monsieur attend le bus.
People & Family,noun,lady,la dame,La dame porte un chapeau rouge.
Daily Verbs,verb,to be,être,Je suis fatigué aujourd'hui.
Daily Verbs,verb,to have,avoir,J'ai deux enfants.
Daily Verbs,verb,to do / make,faire,Je fais du sport le matin.
Daily Verbs,verb,to go,aller,Nous allons au marché ce soir.
Daily Verbs,verb,to come,venir,Tu viens dîner ce soir?
Daily Verbs,verb,to take,prendre,Je prends le train à huit heures.
Daily Verbs,verb,to put / wear,mettre,Elle met un manteau avant de sortir.
Daily Verbs,verb,to give,donner,Il donne un cadeau à sa mère.
Daily Verbs,verb,to say / tell,dire,Qu'est-ce que tu dis?
Daily Verbs,verb,to speak,parler,Elle parle très bien français.
Daily Verbs,verb,to listen,écouter,J'écoute de la musique en travaillant.
Daily Verbs,verb,to watch / look at,regarder,Nous regardons un film ce soir.
Daily Verbs,verb,to see,voir,Je vois mes amis demain matin.
Daily Verbs,verb,to know,savoir,Tu sais parler espagnol?
Daily Verbs,verb,to want,vouloir,Je veux un café s'il vous plaît.
Daily Verbs,verb,can / to be able to,pouvoir,Tu peux m'aider s'il te plaît?
Daily Verbs,verb,must / to have to,devoir,Je dois partir maintenant.
Daily Verbs,verb,to like / love,aimer,J'aime beaucoup le chocolat.
Daily Verbs,verb,to prefer,préférer,Je préfère le thé au café.
Daily Verbs,verb,to look for,chercher,Je cherche mes clés depuis ce matin.
Daily Verbs,verb,to find,trouver,J'ai trouvé mon passeport!
Daily Verbs,verb,to buy,acheter,Elle achète des légumes au marché.
Daily Verbs,verb,to pay,payer,Je vais payer par carte bancaire.
Daily Verbs,verb,to open,ouvrir,Ouvre la fenêtre s'il te plaît.
Daily Verbs,verb,to close,fermer,Ferme bien la porte en sortant.
Daily Verbs,verb,to start,commencer,Le cours commence à neuf heures.
Daily Verbs,verb,to finish,finir,Je finis le travail à dix-huit heures.
Daily Verbs,verb,to wait,attendre,J'attends le bus depuis dix minutes.
Daily Verbs,verb,to stay,rester,Je reste à la maison ce soir.
Home,noun,house,la maison,J'habite dans une petite maison.
Home,noun,apartment,l'appartement,Son appartement est au troisième étage.
Home,noun,bedroom / room,la chambre,Ma chambre est grande et lumineuse.
Home,noun,kitchen,la cuisine,Je cuisine dans la cuisine chaque soir.
Home,noun,bathroom,la salle de bains,La salle de bains est libre maintenant.
Home,noun,living room,le salon,Nous regardons la télé dans le salon.
Home,noun,door,la porte,Ferme la porte s'il te plaît.
Home,noun,window,la fenêtre,Ouvre la fenêtre car il fait chaud.
Home,noun,table,la table,Mets les assiettes sur la table.
Home,noun,chair,la chaise,Prends une chaise et assieds-toi.
Home,noun,bed,le lit,Je vais au lit à minuit.
Home,noun,wardrobe / cupboard,l'armoire,Mes vêtements sont dans l'armoire.
Home,noun,key,la clé,J'ai perdu ma clé ce matin.
Home,noun,garden,le jardin,Les enfants jouent dans le jardin.
Home,noun,stairs,l'escalier,Prends l'escalier plutôt que l'ascenseur.
Food & Drink,noun,bread,le pain,Je mange du pain frais le matin.
Food & Drink,noun,water,l'eau,Je bois beaucoup d'eau chaque jour.
Food & Drink,noun,coffee,le café,Je prends un café s'il vous plaît.
Food & Drink,noun,tea,le thé,Elle préfère le thé au café.
Food & Drink,noun,milk,le lait,Le bébé boit du lait.
Food & Drink,noun,cheese,le fromage,Le fromage français est délicieux.
Food & Drink,noun,fruit,le fruit,Je mange des fruits chaque matin.
Food & Drink,noun,apple,la pomme,Elle mange une pomme après le déjeuner.
Food & Drink,noun,banana,la banane,La banane est jaune et sucrée.
Food & Drink,noun,vegetable,le légume,Je mange des légumes tous les jours.
Food & Drink,noun,soup,la soupe,La soupe est chaude et délicieuse.
Food & Drink,noun,meat,la viande,Je ne mange pas de viande le lundi.
Food & Drink,noun,fish,le poisson,Le poisson du marché est très frais.
Food & Drink,noun,rice,le riz,Je mange du riz avec du poulet.
Food & Drink,noun,pasta,les pâtes,Les pâtes sont prêtes dans cinq minutes.
Food & Drink,noun,sugar,le sucre,Tu veux du sucre dans ton café?
Food & Drink,noun,salt,le sel,Passe-moi le sel s'il te plaît.
Food & Drink,noun,meal,le repas,Le repas était vraiment délicieux.
Food & Drink,noun,breakfast,le petit déjeuner,Je prends le petit déjeuner à sept heures.
Food & Drink,noun,dinner,le dîner,Le dîner est servi à vingt heures.
Travel & City,noun,city / town,la ville,Paris est une très grande ville.
Travel & City,noun,village,le village,Je viens d'un petit village en Bretagne.
Travel & City,noun,street,la rue,Quelle rue cherchez-vous exactement?
Travel & City,noun,square / place,la place,On se retrouve sur la place à midi.
Travel & City,noun,train station,la gare,La gare est loin d'ici.
Travel & City,noun,airport,l'aéroport,L'avion arrive à l'aéroport à midi.
Travel & City,noun,train,le train,Le train part à midi précis.
Travel & City,noun,bus,le bus,Je prends le bus chaque matin.
Travel & City,noun,car,la voiture,Ma voiture est en panne aujourd'hui.
Travel & City,noun,bicycle,le vélo,Je vais au travail à vélo.
Travel & City,noun,taxi,le taxi,Prenons un taxi pour aller à l'aéroport.
Travel & City,noun,ticket,le billet,J'ai acheté deux billets aller-retour.
Travel & City,noun,map / card,la carte,Tu as une carte de la ville?
Travel & City,noun,hotel,l'hôtel,L'hôtel est près de la gare.
Travel & City,noun,restaurant,le restaurant,Ce restaurant est excellent et pas cher.
Travel & City,noun,bank,la banque,La banque est fermée le dimanche.
Travel & City,noun,post office,la poste,Je vais à la poste envoyer un colis.
Travel & City,noun,shop,le magasin,Ce magasin ferme à vingt heures.
Travel & City,noun,market,le marché,Je vais au marché le samedi matin.
Travel & City,noun,museum,le musée,Le musée ouvre à neuf heures.
Time,adverb,today,aujourd'hui,Aujourd'hui il fait très beau.
